location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°F,°F,°F
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20230101T0000,63.014442,45.96844,52.242188
20230102T0000,58.10044,44.11444,50.05144
20230103T0000,49.94644,37.67044,42.94144
20230104T0000,51.54844,42.458443,49.14244
20230105T0000,54.33844,44.348442,49.873684
20230106T0000,50.90044,43.62844,47.52019
20230107T0000,51.96244,39.47044,44.44444
20230108T0000,48.290443,42.512444,46.436443
20230109T0000,45.17644,40.730442,42.581444
20230110T0000,47.46244,40.604443,44.05219
20230111T0000,49.80244,45.28444,47.367935
20230112T0000,51.29644,46.832443,49.490444
20230113T0000,49.60444,43.376442,46.83694
20230114T0000,54.03244,44.38444,50.14519
20230115T0000,53.92444,38.876442,42.444942
20230116T0000,44.29444,35.36644,40.070446
20230117T0000,37.436443,33.422443,34.904446
20230118T0000,35.492443,27.48244,32.608692
20230119T0000,35.276443,25.322441,29.242693
20230120T0000,35.582443,26.654442,30.236443
20230121T0000,33.92644,23.86444,30.230446
20230122T0000,35.132442,31.280441,33.40369
20230123T0000,38.55244,33.08044,36.617443
20230124T0000,41.07244,36.57244,38.304943
20230125T0000,38.480442,32.50444,36.471943
20230126T0000,33.69244,30.038443,31.943443
20230127T0000,34.646442,30.272442,32.589947
20230128T0000,37.25644,31.406443,34.527935
20230129T0000,36.590443,26.348442,31.869192
20230130T0000,37.81444,28.094442,34.32019
20230131T0000,41.27044,31.226442,38.161686
20230201T0000,44.18644,37.832443,41.670185
20230202T0000,45.30244,41.07244,42.99919
20230203T0000,47.12044,41.612442,44.688946
20230204T0000,47.91244,32.630444,40.86169
20230205T0000,42.026443,32.666443,38.728703
20230206T0000,40.98244,30.434443,36.51919
20230207T0000,40.64044,24.494442,30.990194
20230208T0000,37.61644,21.092442,28.797943
20230209T0000,42.854443,20.984442,30.15619
20230210T0000,43.466442,21.578442,30.89644
20230211T0000,46.94044,22.80244,33.116444
20230212T0000,50.360443,26.402443,37.262444
20230213T0000,48.38044,30.092442,36.624195
20230214T0000,48.66844,29.768442,35.74219
20230215T0000,52.46644,29.408442,36.90469
20230216T0000,56.876442,30.236443,45.868687
20230217T0000,56.10244,48.416443,52.10644
20230218T0000,59.10844,48.38044,53.359695
20230219T0000,52.23244,38.624443,47.70844
20230220T0000,60.17044,33.53044,44.973186
20230221T0000,61.95244,32.972443,45.025684
20230222T0000,55.81444,35.45644,48.02269
20230223T0000,56.89444,38.82244,47.53069
20230224T0000,56.084442,41.126442,47.906433
20230225T0000,42.99844,31.208443,38.46094
20230226T0000,35.45644,30.110441,33.452442
20230227T0000,37.14844,30.722443,33.79369
20230228T0000,37.09444,28.706442,32.139946
20230301T0000,40.96444,29.084442,35.59069
20230302T0000,43.376442,32.000443,36.695446
20230303T0000,47.084442,32.396442,39.45019
20230304T0000,46.778442,31.01044,37.416195
20230305T0000,44.402443,32.03644,37.59694
20230306T0000,43.01644,31.928442,37.96294
20230307T0000,44.94244,33.40444,39.55669
20230308T0000,55.508442,38.444443,50.54495
20230309T0000,60.62044,48.97444,53.50069
20230310T0000,51.40444,37.09444,45.552944
20230311T0000,43.70044,34.97044,39.657944
20230312T0000,55.85044,40.65844,49.653194
20230313T0000,70.91644,50.108444,59.016193
20230314T0000,50.702442,35.42044,45.41419
20230315T0000,48.83044,31.118443,39.597195
20230316T0000,56.15644,30.902441,43.485188
20230317T0000,63.28444,35.06044,51.513935
20230318T0000,63.914444,39.07444,53.738438
